usage_date_utc,model,api_key,usage_type,token_type,cost_usd
2024-04-05,Claude 3 Haiku,,message,input_no_cache,0.00
2024-04-05,Claude 3 Haiku,,message,output,0.00
2024-04-05,Claude 3 Opus,,message,input_no_cache,0.27
2024-04-05,Claude 3 Opus,,message,output,0.56
2024-04-06,Claude 3 Opus,,message,input_no_cache,1.50
2024-04-06,Claude 3 Opus,,message,output,1.00
2024-04-08,Claude 3 Opus,,message,input_no_cache,0.01
2024-04-08,Claude 3 Opus,,message,output,0.09
2024-04-09,Claude 3 Opus,,message,input_no_cache,19.72
2024-04-09,Claude 3 Opus,,message,output,3.31
2024-04-10,Claude 3 Opus,,message,input_no_cache,14.40
2024-04-10,Claude 3 Opus,,message,output,4.97
2024-04-11,Claude 3 Opus,,message,input_no_cache,0.34
2024-04-11,Claude 3 Opus,,message,output,0.87
2024-04-12,Claude 3 Haiku,,message,input_no_cache,0.00
2024-04-12,Claude 3 Haiku,,message,output,0.00
2024-04-12,Claude 3 Opus,,message,input_no_cache,0.05
2024-04-12,Claude 3 Opus,,message,output,0.13
2024-04-13,Claude 3 Haiku,,message,input_no_cache,0.00
2024-04-13,Claude 3 Haiku,,message,output,0.00
2024-04-13,Claude 3 Opus,,message,input_no_cache,36.80
2024-04-13,Claude 3 Opus,,message,output,7.31
2024-04-14,Claude 3 Haiku,,message,input_no_cache,0.00
2024-04-14,Claude 3 Haiku,,message,output,0.00
2024-04-14,Claude 3 Opus,,message,input_no_cache,66.47
2024-04-14,Claude 3 Opus,,message,output,6.53
2024-04-15,Claude 3 Haiku,,message,input_no_cache,0.01
2024-04-15,Claude 3 Haiku,,message,output,0.02
2024-04-15,Claude 3 Opus,,message,input_no_cache,21.24
2024-04-15,Claude 3 Opus,,message,output,3.14
2024-04-18,Claude 3 Haiku,,message,input_no_cache,0.00
2024-04-18,Claude 3 Haiku,,message,output,0.00
2024-04-18,Claude 3 Opus,,message,input_no_cache,0.28
2024-04-18,Claude 3 Opus,,message,output,0.88
2024-04-20,Claude 3 Haiku,,message,input_no_cache,0.04
2024-04-20,Claude 3 Haiku,,message,output,0.02
2024-04-20,Claude 3 Opus,,message,input_no_cache,0.07
2024-04-20,Claude 3 Opus,,message,output,0.02
2024-04-20,Claude 3 Sonnet,,message,input_no_cache,0.02
2024-04-20,Claude 3 Sonnet,,message,output,0.01
2024-04-21,Claude 3 Opus,,message,input_no_cache,0.00
2024-04-21,Claude 3 Opus,,message,output,0.02
2024-04-22,Claude 3 Haiku,,message,input_no_cache,1.46
2024-04-22,Claude 3 Haiku,,message,output,0.11
2024-04-22,Claude 3 Opus,,message,input_no_cache,60.07
2024-04-22,Claude 3 Opus,,message,output,8.59
2024-04-23,Claude 3 Opus,,message,input_no_cache,0.42
2024-04-23,Claude 3 Opus,,message,output,0.37
2024-04-24,Claude 3 Opus,,message,input_no_cache,21.71
2024-04-24,Claude 3 Opus,,message,output,6.41
2024-04-25,Claude 3 Opus,,message,input_no_cache,2.83
2024-04-25,Claude 3 Opus,,message,output,1.74
2024-04-28,Claude 3 Opus,,message,input_no_cache,0.03
2024-04-28,Claude 3 Opus,,message,output,0.09
2024-04-29,Claude 3 Haiku,,message,input_no_cache,0.00
2024-04-29,Claude 3 Haiku,,message,output,0.00
2024-04-29,Claude 3 Opus,,message,input_no_cache,0.85
2024-04-29,Claude 3 Opus,,message,output,1.88
