usage_date_utc,model,api_key,usage_type,token_type,cost_usd
2024-06-01,Claude 3 Opus,,message,input_no_cache,0.13
2024-06-01,Claude 3 Opus,,message,output,0.13
2024-06-02,Claude 3 Opus,,message,input_no_cache,0.12
2024-06-02,Claude 3 Opus,,message,output,0.06
2024-06-03,Claude 3 Haiku,,message,input_no_cache,0.00
2024-06-03,Claude 3 Haiku,,message,output,0.00
2024-06-03,Claude 3 Opus,,message,input_no_cache,0.34
2024-06-03,Claude 3 Opus,,message,output,0.29
2024-06-03,Claude 3 Sonnet,,message,input_no_cache,6.94
2024-06-03,Claude 3 Sonnet,,message,output,1.99
2024-06-04,Claude 3 Opus,,message,input_no_cache,0.02
2024-06-04,Claude 3 Opus,,message,output,0.06
2024-06-05,Claude 3 Haiku,,message,input_no_cache,0.00
2024-06-05,Claude 3 Haiku,,message,output,0.00
2024-06-05,Claude 3 Opus,,message,input_no_cache,0.84
2024-06-05,Claude 3 Opus,,message,output,0.84
2024-06-06,Claude 3 Haiku,,message,input_no_cache,0.00
2024-06-06,Claude 3 Haiku,,message,output,0.00
2024-06-06,Claude 3 Opus,,message,input_no_cache,0.21
2024-06-06,Claude 3 Opus,,message,output,0.44
2024-06-06,Claude 3 Sonnet,,message,input_no_cache,1.21
2024-06-06,Claude 3 Sonnet,,message,output,0.35
2024-06-08,Claude 3 Opus,,message,input_no_cache,0.45
2024-06-08,Claude 3 Opus,,message,output,0.39
2024-06-11,Claude 3 Opus,,message,input_no_cache,0.10
2024-06-11,Claude 3 Opus,,message,output,0.25
2024-06-12,Claude 2,,message,input_no_cache,0.01
2024-06-12,Claude 2,,message,output,0.02
2024-06-12,Claude 3 Opus,,message,input_no_cache,0.25
2024-06-12,Claude 3 Opus,,message,output,0.38
